,status,executionTime,nbResult,query,workload,approach,run
0,ok,0.717,9.0,q11j,rdfs,FedUp-FedX,1
0,ok,0.575,9.0,q11j,rdfs,FedUp-FedX,2
0,ok,0.34,9.0,q11j,rdfs,FedUp-FedX,3
0,ok,0.331,1.0,q12a,rdfs,FedUp-FedX,1
0,ok,0.683,1.0,q12a,rdfs,FedUp-FedX,2
0,ok,0.523,1.0,q12a,rdfs,FedUp-FedX,3
0,ok,0.324,1.0,q12b,rdfs,FedUp-FedX,1
0,ok,0.272,1.0,q12b,rdfs,FedUp-FedX,2
0,ok,0.268,1.0,q12b,rdfs,FedUp-FedX,3
0,ok,0.336,1.0,q12c,rdfs,FedUp-FedX,1
0,ok,0.302,1.0,q12c,rdfs,FedUp-FedX,2
0,ok,0.338,1.0,q12c,rdfs,FedUp-FedX,3
0,ok,0.248,1.0,q12d,rdfs,FedUp-FedX,1
0,ok,0.296,1.0,q12d,rdfs,FedUp-FedX,2
0,ok,0.439,1.0,q12d,rdfs,FedUp-FedX,3
0,ok,0.272,1.0,q12e,rdfs,FedUp-FedX,1
0,ok,0.261,1.0,q12e,rdfs,FedUp-FedX,2
0,ok,0.471,1.0,q12e,rdfs,FedUp-FedX,3
0,ok,0.282,1.0,q12f,rdfs,FedUp-FedX,1
0,ok,0.713,1.0,q12f,rdfs,FedUp-FedX,2
0,ok,0.268,1.0,q12f,rdfs,FedUp-FedX,3
0,ok,0.283,1.0,q12g,rdfs,FedUp-FedX,1
0,ok,0.445,1.0,q12g,rdfs,FedUp-FedX,2
0,ok,0.475,1.0,q12g,rdfs,FedUp-FedX,3
0,ok,0.596,1.0,q12h,rdfs,FedUp-FedX,1
0,ok,0.237,1.0,q12h,rdfs,FedUp-FedX,2
0,ok,0.681,1.0,q12h,rdfs,FedUp-FedX,3
0,ok,0.357,1.0,q12i,rdfs,FedUp-FedX,1
0,ok,0.327,1.0,q12i,rdfs,FedUp-FedX,2
0,ok,0.376,1.0,q12i,rdfs,FedUp-FedX,3
0,ok,0.263,1.0,q12j,rdfs,FedUp-FedX,1
0,ok,0.281,1.0,q12j,rdfs,FedUp-FedX,2
0,ok,0.467,1.0,q12j,rdfs,FedUp-FedX,3
0,ok,0.657,1.0,q01a,rdfs,FedUp-Jena,1
0,ok,0.698,1.0,q01a,rdfs,FedUp-Jena,2
0,ok,0.75,1.0,q01a,rdfs,FedUp-Jena,3
0,ok,2.413,9.0,q01b,rdfs,FedUp-Jena,1
0,ok,2.002,9.0,q01b,rdfs,FedUp-Jena,2
0,ok,1.678,9.0,q01b,rdfs,FedUp-Jena,3
0,ok,2.068,1.0,q01c,rdfs,FedUp-Jena,1
0,ok,1.46,1.0,q01c,rdfs,FedUp-Jena,2
0,ok,1.583,1.0,q01c,rdfs,FedUp-Jena,3
0,ok,1.185,8.0,q01d,rdfs,FedUp-Jena,1
0,ok,1.02,8.0,q01d,rdfs,FedUp-Jena,2
0,ok,1.182,8.0,q01d,rdfs,FedUp-Jena,3
0,ok,1.528,5.0,q01e,rdfs,FedUp-Jena,1
0,ok,1.476,5.0,q01e,rdfs,FedUp-Jena,2
0,ok,1.725,5.0,q01e,rdfs,FedUp-Jena,3
0,ok,1.136,3.0,q01f,rdfs,FedUp-Jena,1
0,ok,0.672,3.0,q01f,rdfs,FedUp-Jena,2
0,ok,0.708,3.0,q01f,rdfs,FedUp-Jena,3
0,ok,0.861,6.0,q01g,rdfs,FedUp-Jena,1
0,ok,0.945,6.0,q01g,rdfs,FedUp-Jena,2
0,ok,0.57,6.0,q01g,rdfs,FedUp-Jena,3
0,ok,1.777,5.0,q01h,rdfs,FedUp-Jena,1
0,ok,1.375,5.0,q01h,rdfs,FedUp-Jena,2
0,ok,1.212,5.0,q01h,rdfs,FedUp-Jena,3
0,ok,1.884,1.0,q01i,rdfs,FedUp-Jena,1
0,ok,1.518,1.0,q01i,rdfs,FedUp-Jena,2
0,ok,1.705,1.0,q01i,rdfs,FedUp-Jena,3
0,ok,1.302,7.0,q01j,rdfs,FedUp-Jena,1
0,ok,1.006,7.0,q01j,rdfs,FedUp-Jena,2
0,ok,0.927,7.0,q01j,rdfs,FedUp-Jena,3
0,ok,22.292,54.0,q02a,rdfs,FedUp-Jena,1
0,ok,13.281,54.0,q02a,rdfs,FedUp-Jena,2
0,ok,21.17,54.0,q02a,rdfs,FedUp-Jena,3
0,ok,15.572,54.0,q02b,rdfs,FedUp-Jena,1
0,ok,13.604,54.0,q02b,rdfs,FedUp-Jena,2
0,ok,17.497,54.0,q02b,rdfs,FedUp-Jena,3
0,ok,24.627,72.0,q02c,rdfs,FedUp-Jena,1
0,ok,35.777,72.0,q02c,rdfs,FedUp-Jena,2
0,ok,30.42,72.0,q02c,rdfs,FedUp-Jena,3
0,ok,0.046,9.0,q02d,rdfs,FedUp-Jena,1
0,ok,2.133,9.0,q02d,rdfs,FedUp-Jena,2
0,ok,0.077,9.0,q02d,rdfs,FedUp-Jena,3
0,ok,51.107,99.0,q02e,rdfs,FedUp-Jena,1
0,ok,33.062,99.0,q02e,rdfs,FedUp-Jena,2
0,ok,,,q02e,rdfs,FedUp-Jena,3
0,ok,3.744,27.0,q02f,rdfs,FedUp-Jena,1
0,ok,7.081,27.0,q02f,rdfs,FedUp-Jena,2
0,ok,7.433,27.0,q02f,rdfs,FedUp-Jena,3
0,ok,5.74,36.0,q02g,rdfs,FedUp-Jena,1
0,ok,4.296,36.0,q02g,rdfs,FedUp-Jena,2
0,ok,11.581,36.0,q02g,rdfs,FedUp-Jena,3
0,ok,16.186,45.0,q02h,rdfs,FedUp-Jena,1
0,ok,13.111,45.0,q02h,rdfs,FedUp-Jena,2
0,ok,12.613,45.0,q02h,rdfs,FedUp-Jena,3
0,ok,31.322,90.0,q02i,rdfs,FedUp-Jena,1
0,ok,42.711,90.0,q02i,rdfs,FedUp-Jena,2
0,ok,41.049,90.0,q02i,rdfs,FedUp-Jena,3
0,ok,4.766,18.0,q02j,rdfs,FedUp-Jena,1
0,ok,4.803,18.0,q02j,rdfs,FedUp-Jena,2
0,ok,3.749,18.0,q02j,rdfs,FedUp-Jena,3
0,ok,7.588,4.0,q03a,rdfs,FedUp-Jena,1
0,ok,8.121,4.0,q03a,rdfs,FedUp-Jena,2
0,ok,6.423,4.0,q03a,rdfs,FedUp-Jena,3
0,ok,4.574,10.0,q03b,rdfs,FedUp-Jena,1
0,ok,4.185,10.0,q03b,rdfs,FedUp-Jena,2
0,ok,4.312,10.0,q03b,rdfs,FedUp-Jena,3
0,ok,4.466,6.0,q03c,rdfs,FedUp-Jena,1
0,ok,3.45,6.0,q03c,rdfs,FedUp-Jena,2
0,ok,3.528,6.0,q03c,rdfs,FedUp-Jena,3
0,ok,6.639,8.0,q03d,rdfs,FedUp-Jena,1
0,ok,5.641,8.0,q03d,rdfs,FedUp-Jena,2
0,ok,5.528,8.0,q03d,rdfs,FedUp-Jena,3
0,ok,6.878,6.0,q03e,rdfs,FedUp-Jena,1
0,ok,3.942,6.0,q03e,rdfs,FedUp-Jena,2
0,ok,3.979,6.0,q03e,rdfs,FedUp-Jena,3
0,ok,4.527,5.0,q03f,rdfs,FedUp-Jena,1
0,ok,3.859,5.0,q03f,rdfs,FedUp-Jena,2
0,ok,3.729,5.0,q03f,rdfs,FedUp-Jena,3
0,ok,5.217,4.0,q03g,rdfs,FedUp-Jena,1
0,ok,4.384,4.0,q03g,rdfs,FedUp-Jena,2
0,ok,4.525,4.0,q03g,rdfs,FedUp-Jena,3
0,ok,4.494,10.0,q03h,rdfs,FedUp-Jena,1
0,ok,4.252,10.0,q03h,rdfs,FedUp-Jena,2
0,ok,3.954,10.0,q03h,rdfs,FedUp-Jena,3
0,ok,5.602,6.0,q03i,rdfs,FedUp-Jena,1
0,ok,4.562,6.0,q03i,rdfs,FedUp-Jena,2
0,ok,4.706,6.0,q03i,rdfs,FedUp-Jena,3
0,ok,3.953,10.0,q03j,rdfs,FedUp-Jena,1
0,ok,2.779,10.0,q03j,rdfs,FedUp-Jena,2
0,ok,2.574,10.0,q03j,rdfs,FedUp-Jena,3
