,status,TotalExecutionTime,nbResult,planningTime,executionTime,query,workload,approach,run
0,ok,0.51,2,,,q08i,rdfs,Hefquin,1
0,ok,0.446,1,,,q08j,rdfs,Hefquin,1
0,ok,0.453,1,,,q09a,rdfs,Hefquin,1
0,ok,0.371,1,,,q09b,rdfs,Hefquin,1
0,ok,0.586,1,,,q09c,rdfs,Hefquin,1
0,ok,0.413,1,,,q09d,rdfs,Hefquin,1
0,ok,0.389,1,,,q09e,rdfs,Hefquin,1
0,ok,0.644,1,,,q09f,rdfs,Hefquin,1
0,ok,0.462,1,,,q09g,rdfs,Hefquin,1
0,ok,0.497,1,,,q09h,rdfs,Hefquin,1
0,ok,0.328,1,,,q09i,rdfs,Hefquin,1
0,ok,0.571,1,,,q09j,rdfs,Hefquin,1
0,ok,0.505,1,,,q10a,rdfs,Hefquin,1
0,ok,0.39,1,,,q10b,rdfs,Hefquin,1
0,ok,0.544,1,,,q10c,rdfs,Hefquin,1
0,ok,0.388,1,,,q10d,rdfs,Hefquin,1
0,ok,0.515,2,,,q10e,rdfs,Hefquin,1
0,ok,0.405,1,,,q10f,rdfs,Hefquin,1
0,ok,0.371,1,,,q10g,rdfs,Hefquin,1
0,ok,0.516,1,,,q10h,rdfs,Hefquin,1
0,ok,0.474,1,,,q10i,rdfs,Hefquin,1
0,ok,0.85,1,,,q10j,rdfs,Hefquin,1
0,ok,0.633,9,,,q11a,rdfs,Hefquin,1
0,ok,0.572,9,,,q11b,rdfs,Hefquin,1
0,ok,0.924,9,,,q11c,rdfs,Hefquin,1
0,ok,0.503,9,,,q11d,rdfs,Hefquin,1
0,ok,0.368,9,,,q11e,rdfs,Hefquin,1
0,ok,0.461,9,,,q11f,rdfs,Hefquin,1
0,ok,0.618,9,,,q11g,rdfs,Hefquin,1
0,ok,0.599,9,,,q11h,rdfs,Hefquin,1
0,ok,0.564,9,,,q11i,rdfs,Hefquin,1
0,ok,0.469,9,,,q11j,rdfs,Hefquin,1
0,ok,0.472,1,,,q12a,rdfs,Hefquin,1
0,ok,0.64,1,,,q12b,rdfs,Hefquin,1
0,ok,0.637,1,,,q12c,rdfs,Hefquin,1
0,ok,0.485,1,,,q12d,rdfs,Hefquin,1
0,ok,0.717,1,,,q12e,rdfs,Hefquin,1
0,ok,0.686,1,,,q12f,rdfs,Hefquin,1
0,ok,0.46,1,,,q12g,rdfs,Hefquin,1
0,ok,0.442,1,,,q12h,rdfs,Hefquin,1
0,ok,0.658,1,,,q12i,rdfs,Hefquin,1
0,ok,0.458,1,,,q12j,rdfs,Hefquin,1
